Thread ID: 70321780771280
Fiber ID: 70321808515740
Total: 0.019491
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.012     0.000     0.000     0.012        1   Rack::ConditionalGet#call 
  0.08      0.000     0.000     0.000     0.000        1   Rack::Response#write 
  0.08      0.000     0.000     0.000     0.000        2   URI::Generic#normalize! 
  0.08      0.000     0.000     0.000     0.000       10   Symbol#== 
  0.08      0.000     0.000     0.000     0.000        1   Rails::Rack::Logger#started_request_message 
  0.08      0.000     0.000     0.000     0.000        1   WelcomeController#_layout 
  0.08      0.000     0.000     0.000     0.000        4   #<Class:0x007fea24ebe798>#asset_host 
  0.08      0.015     0.000     0.000     0.015        1   ActionDispatch::Static#call 
  0.08      0.000     0.000     0.000     0.000        3   ActionDispatch::Request#ip 
  0.08      0.000     0.000     0.000     0.000        3   Hash#stringify_keys! 
  0.08      0.000     0.000     0.000     0.000        7   ActiveSupport::Configurable::ClassMethods#config 
  0.08      0.000     0.000     0.000     0.000        3   ActionDispatch::Request#check_method 
  0.08      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::Cookies::CookieJar>#build 
  0.08      0.000     0.000     0.000     0.000        4  *ActionView::LookupContext::Accessors#initialize_details 
  0.08      0.000     0.000     0.000     0.000        3   ActionView::LookupContext::ViewPaths#find_all 
  0.08      0.000     0.000     0.000     0.000        1   <Class::ActiveRecord::Base>#connection_id= 
  0.08      0.000     0.000     0.000     0.000        2   Rack::Request#trusted_proxy? 
  0.08      0.000     0.000     0.000     0.000        2   ActiveSupport::HashWithIndifferentAccess#dup 
  0.08      0.000     0.000     0.000     0.000        4   #<Class:0x007fea24ebe798>#relative_url_root 
  0.08      0.000     0.000     0.000     0.000        2   ActionDispatch::Response#status= 
  0.08      0.000     0.000     0.000     0.000        4  *ActionView::Helpers::AssetTagHelper::AssetIncludeTag#expansions 
  0.08      0.000     0.000     0.000     0.000        6   URI::Generic#set_path 
  0.08      0.000     0.000     0.000     0.000        1   ActionController::ParamsWrapper#_wrapper_enabled? 
  0.08      0.013     0.000     0.000     0.013        1   ActionDispatch::Callbacks#_run__3776129651412069477__call__4286204378610978101__callbacks 
  0.08      0.001     0.000     0.000     0.001        1   ActionView::Helpers::AssetTagHelper::StylesheetIncludeTag#asset_tag 
  0.08      0.000     0.000     0.000     0.000        6   Rational#/ 
  0.08      0.000     0.000     0.000     0.000        5   URI::Generic#split_userinfo 
  0.08      0.000     0.000     0.000     0.000        5   NilClass#to_s 
  0.08      0.000     0.000     0.000     0.000        1   ActionController::Metal#initialize 
  0.08      0.000     0.000     0.000     0.000        3   Logger::LogDevice#write 
  0.08      0.000     0.000     0.000     0.000        1   Set#merge 
  0.08      0.000     0.000     0.000     0.000        6   Fixnum#== 
  0.08      0.006     0.000     0.000     0.006        1   ActionController::Rendering#process_action 
  0.08      0.000     0.000     0.000     0.000        1   Rack::Request#GET 
  0.08      0.000     0.000     0.000     0.000        3   ActiveSupport::HashWithIndifferentAccess#key? 
  0.08      0.000     0.000     0.000     0.000        3   String#force_encoding 
  0.08      0.000     0.000     0.000     0.000        1   ActionController::Base#_layout 
  0.07      0.000     0.000     0.000     0.000        5   URI::Generic#set_opaque 
  0.07      0.001     0.000     0.000     0.001        1   ActionView::Helpers::AssetTagHelper::JavascriptIncludeTag#asset_tag 
  0.07      0.000     0.000     0.000     0.000        1   AbstractController::Rendering#view_context 
  0.07      0.000     0.000     0.000     0.000        2   Sprockets::Helpers::RailsHelper#asset_prefix 
  0.07      0.000     0.000     0.000     0.000        2   <Class::Rack::Utils::HeaderHash>#new 
  0.07      0.000     0.000     0.000     0.000        3   ActiveSupport::TaggedLogging#info 
  0.07      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#rewrite_relative_url_root 
  0.07      0.000     0.000     0.000     0.000        5   Fixnum#* 
  0.07      0.000     0.000     0.000     0.000        1   ActionController::Metal#response_body= 
  0.07      0.000     0.000     0.000     0.000        6   URI::Generic#set_scheme 
  0.07      0.014     0.000     0.000     0.014        1   ActionDispatch::RequestId#call 
  0.07      0.000     0.000     0.000     0.000        4   String#to_sym 
  0.07      0.000     0.000     0.000     0.000        4   ActionView::AssetPaths#compute_asset_host 
  0.07      0.001     0.000     0.000     0.001        3  *AbstractController::UrlFor::ClassMethods#action_methods 
  0.07      0.000     0.000     0.000     0.000        4   String#intern 
  0.07      0.000     0.000     0.000     0.000        1   AbstractController::Layouts#_layout_for_option 
  0.07      0.000     0.000     0.000     0.000        6   <Module::URI>#scheme_list 
  0.07      0.000     0.000     0.000     0.000        2   Rack::Session::Abstract::SessionHash#exists? 
  0.07      0.000     0.000     0.000     0.000        5   String#initialize_copy 
  0.07      0.000     0.000     0.000     0.000        6   URI::Generic#set_host 
  0.07      0.000     0.000     0.000     0.000        6   Rational#to_f 
  0.07      0.000     0.000     0.000     0.000        2   AbstractController::Rendering#view_renderer 
  0.07      0.000     0.000     0.000     0.000        2  *<Class::ActionController::Metal>#action 
  0.07      0.000     0.000     0.000     0.000        4   Rack::MockSession#last_response 
